"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"C1105";"gestionnaire actif / passif";"https://www.onisep.fr/http/redirection/metier/slug/MET.815";"Actuaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1105";"Non";"";"Non";"Non"
"C1106";"expert / experte en assurances";"https://www.onisep.fr/http/redirection/metier/slug/MET.329";"Expert / Experte risques en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1106";"Non";"";"Non";"Non"
"C1107";"";"";"Chargé / Chargée d'indemnisations en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1107";"Non";"";"Non";"Non"
"C1108";"";"";"Responsable de département en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1108";"Non";"";"Non";"Non"
"C1109";"gestionnaire de contrats d'assurance";"https://www.onisep.fr/http/redirection/metier/slug/MET.867";"Gestionnaire en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1109";"Non";"";"Non";"Non"
"C1110";"souscripteur / souscriptrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.483";"Souscripteur / Souscriptrice en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1110";"Non";"";"Non";"Non"
"C1201";"guichetier / guichetière";"https://www.onisep.fr/http/redirection/metier/slug/MET.271";"Chargé / Chargée d'accueil en banque";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1201";"Non";"";"Non";"Non"
"C1202";"analyste de crédit";"https://www.onisep.fr/http/redirection/metier/slug/MET.661";"Analyste de crédits et risques bancaires";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1202";"Non";"";"Non";"Non"
"C1203";"";"";"Chargé / Chargée d'affaires bancaires entreprise";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1203";"Non";"";"Non";"Non"
"C1204";"";"";"Gestionnaire de produits bancaires";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1204";"Non";"";"Non";"Non"
"C1205";"gestionnaire de patrimoine";"https://www.onisep.fr/http/redirection/metier/slug/MET.213";"Conseiller / Conseillère en gestion de patrimoine";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1205";"Non";"";"Oui";"Oui"
"C1206";"chargé / chargée de clientèle banque";"https://www.onisep.fr/http/redirection/metier/slug/MET.671";"Conseiller / Conseillère de clientèle bancaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1206";"Non";"";"Non";"Non"
"C1207";"directeur / directrice d'agence bancaire";"https://www.onisep.fr/http/redirection/metier/slug/MET.544";"Directeur / Directrice d'agence bancaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1207";"Non";"";"Non";"Non"
"C1301";"trader";"https://www.onisep.fr/http/redirection/metier/slug/MET.757";"Trader";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1301";"Non";"";"Non";"Non"
"C1301";"salesman";"https://www.onisep.fr/http/redirection/metier/slug/MET.346";"Trader";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1301";"Non";"";"Non";"Non"
"C1302";"";"";"Gestionnaire des opérations sur les marchés financiers";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1302";"Non";"";"Non";"Non"
"C1303";"gérant / gérante de portefeuille";"https://www.onisep.fr/http/redirection/metier/slug/MET.660";"Gérant / Gérante de portefeuille financier";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1303";"Non";"";"Non";"Non"
"C1401";"";"";"Agent administratif / Agente administrative banque ou assurance";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1401";"Non";"";"Non";"Non"
"C1501";"administrateur / administratrice de biens";"https://www.onisep.fr/http/redirection/metier/slug/MET.396";"Gestionnaire de copropriété";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1501";"Non";"";"Non";"Non"
"C1501";"syndic de copropriété";"https://www.onisep.fr/http/redirection/metier/slug/MET.764";"Gestionnaire de copropriété";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1501";"Non";"";"Non";"Non"
"C1502";"";"";"Chargé / Chargée de gestion locative en immobilier";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1502";"Non";"";"Non";"Non"
"C1503";"";"";"Chargé / Chargée d'opérations immobilières";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1503";"Non";"";"Non";"Non"
"C1504";"agent immobilier / agente immobilière";"https://www.onisep.fr/http/redirection/metier/slug/MET.270";"Conseiller / Conseillère immobilier";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1504";"Non";"";"Non";"Non"
"D1101";"boucher / bouchère";"https://www.onisep.fr/http/redirection/metier/slug/MET.268";"Boucher / Bouchère";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1101";"Non";"";"Non";"Non"
"D1102";"boulanger / boulangère";"https://www.onisep.fr/http/redirection/metier/slug/MET.17";"Boulanger / Boulangère";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1102";"Non";"";"Non";"Non"
"D1103";"charcutier-traiteur / charcutière-traiteuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.153";"Charcutier-traiteur / Charcutière-traiteuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1103";"Non";"";"Non";"Non"
"D1104";"pâtissier / pâtissière";"https://www.onisep.fr/http/redirection/metier/slug/MET.152";"Pâtissier / Pâtissière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1104";"Non";"";"Non";"Non"
"D1104";"chocolatier-confiseur / chocolatière-confiseuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.88";"Pâtissier / Pâtissière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1104";"Non";"";"Non";"Non"
"D1104";"glacier-sorbetier / glacière-sorbetière";"https://www.onisep.fr/http/redirection/metier/slug/MET.377";"Pâtissier / Pâtissière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1104";"Non";"";"Non";"Non"
"D1105";"poissonnier / poissonnière";"https://www.onisep.fr/http/redirection/metier/slug/MET.600";"Poissonnier / Poissonnière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1105";"Non";"";"Non";"Non"
"D1106";"commerçant / commerçante en alimentation";"https://www.onisep.fr/http/redirection/metier/slug/MET.16";"Épicier / Épicière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1106";"Non";"";"Non";"Non"
"D1106";"vendeur / vendeuse conseil caviste";"https://www.onisep.fr/http/redirection/metier/slug/MET.631";"Épicier / Épicière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1106";"Non";"";"Non";"Non"
"D1106";"fromager / fromagère";"https://www.onisep.fr/http/redirection/metier/slug/MET.510";"Épicier / Épicière";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1106";"Non";"";"Non";"Non"
"D1107";"";"";"Grossiste en produits frais";"https://candidat.francetravail.fr/metierscope/fiche-metier/D1107";"Non";"";"Non";"Non"
